"","NQUEST","NORD","ANNO","IREG","IPROV","ACOM5","PAR","SESSO","ETA","ETA5","STUDIO","SETTP3","QUALP7","QUALP3","NONOC","AREA5","AREA3","SETTP7","CFDIC","CFEUR","QUALP7N","ACOM4C","SETTP9","STACIV","NORDP","NINTPRE","NASCREG","NASCAREA","ANASC","QUALP10","SETTP11","CFRED","NEQU","PERC","PERL","NPERC","NPERL","NCOMP","ENASC2","etapen","asnonoc","QUALP10N","ASNONOC2","ANASCI","NORDC","ID","localIndex","source","X1","X2","X3"
"256681",853854,1,2016,20,NA,3,1,2,74,5,1,3,NA,3,4,5,3,7,1,1,7,2,9,2,1,3,20,3,1942,10,11,1,1,1,0,1,0,1,NA,NA,8,NA,NA,1942,1,"853854_1",4246,"A",0.0920783214352549,3.45361261251472,0.331384928239742
"256704",853875,1,2016,15,NA,1,1,2,64,4,4,3,NA,3,5,4,3,7,1,0,7,1,9,1,1,3,15,3,1952,10,11,0,1.5,0,0,1,0,2,NA,NA,8,NA,NA,1952,1,"853875_1",4247,"A",0.133815013692419,-3.04069645563248,0.118086141897747
"256705",853875,2,2016,15,NA,1,2,1,68,5,3,3,NA,3,4,4,3,7,0,1,7,1,9,1,2,3,15,3,1948,10,11,1,1.5,1,0,1,0,2,NA,NA,1,NA,NA,1948,2,"853875_2",4248,"A",0.519118134131768,4.80329716161612,0.327495885149913
"256729",853911,2,2016,8,NA,4,2,2,59,4,4,3,NA,3,4,2,1,7,0,0,7,3,9,1,2,3,8,1,1957,10,11,0,2.5,1,0,3,2,4,NA,NA,2,NA,NA,1957,1,"853911_1",4250,"A",0.893459057855568,4.78105306351299,-0.560943830203473
"256728",853911,1,2016,8,NA,4,1,1,69,5,5,1,NA,2,0,2,1,1,1,1,6,3,1,1,1,3,8,1,1947,9,1,1,2.5,1,1,3,2,4,NA,80,NA,NA,NA,1947,2,"853911_2",4249,"A",-0.00518528595876172,0.516134835938809,0.333322640689732
"256731",853911,4,2016,8,NA,4,3,2,25,1,4,3,NA,3,6,2,1,7,0,0,7,3,9,2,4,3,8,1,1991,10,11,0,2.5,0,0,3,2,4,NA,NA,NA,NA,NA,1991,4,"853911_4",4252,"A",-1.45379632062749,0.881287863762082,0.326156424882359
"256730",853911,3,2016,8,NA,4,4,1,63,4,4,1,NA,2,0,2,1,1,0,0,6,3,1,2,5,3,8,1,1953,9,1,0,2.5,1,1,3,2,4,NA,NA,NA,NA,NA,1953,5,"853911_5",4251,"A",1.33818572297916,-0.402278000175741,-0.596845827638373
"256792",854058,1,2016,9,NA,3,1,1,66,5,4,3,NA,3,4,3,2,7,1,1,7,3,9,1,1,3,9,2,1950,10,11,1,2,1,0,3,2,3,NA,NA,2,NA,NA,1950,1,"854058_1",4253,"A",1.07475055695419,2.08505166428265,-0.663525347019722
"256793",854058,2,2016,9,NA,3,2,2,61,4,5,2,NA,1,0,3,2,6,0,0,2,3,8,1,2,3,9,2,1955,2,9,0,2,1,1,3,2,3,NA,67,NA,NA,NA,1955,2,"854058_2",4254,"A",-0.266232457891967,-0.193541814028433,0.332492662305345
"256794",854058,3,2016,9,NA,3,3,1,25,1,4,2,NA,1,0,3,2,4,0,0,1,3,5,2,4,3,9,2,1991,1,5,0,2,1,1,3,2,3,NA,NA,NA,NA,NA,1991,4,"854058_4",4255,"A",1.19475850498891,-2.3214122467392,0.333333288824925
"256817",854070,1,2016,9,NA,3,1,2,48,3,4,2,NA,1,0,3,2,3,1,1,1,3,4,3,1,3,15,3,1968,1,4,1,1.5,1,1,2,1,2,NA,67,NA,NA,NA,1968,1,"854070_1",4256,"A",-0.653392635905147,-5.31574873613665,0.327534320873996
"256818",854070,2,2016,9,NA,3,3,2,22,1,4,3,NA,3,6,3,2,7,0,0,7,3,9,2,2,3,8,1,1994,10,11,0,1.5,1,0,2,1,2,NA,NA,NA,NA,NA,1994,3,"854070_3",4257,"A",-0.131103574550036,-2.47146755063762,0.333333331320323
"256830",854074,1,2016,9,NA,3,1,1,69,5,4,3,NA,3,4,3,2,7,1,1,7,3,9,1,1,3,9,2,1947,10,11,1,1.5,1,0,2,0,2,NA,NA,2,NA,NA,1947,1,"854074_1",4258,"A",1.20345348087532,-0.991695839176178,0.33332826691967
"256831",854074,2,2016,9,NA,3,2,2,67,5,3,3,NA,3,4,3,2,7,0,0,7,3,9,1,2,3,9,2,1949,10,11,0,1.5,1,0,2,0,2,NA,NA,7,NA,NA,1949,2,"854074_2",4259,"A",2.33939461248764,-3.97998016614672,-0.661285484182989
"256838",854078,1,2016,9,NA,3,1,1,81,5,2,3,NA,3,4,3,2,7,1,1,7,3,9,1,1,3,9,2,1935,10,11,1,1.5,1,0,1,0,2,NA,NA,1,NA,NA,1935,1,"854078_1",4260,"A",0.563669655010973,1.87898426299935,0.194706940724578
"256839",854078,2,2016,9,NA,3,2,2,74,5,2,3,NA,3,2,3,2,7,0,0,7,3,9,1,2,3,9,2,1942,10,11,0,1.5,0,0,1,0,2,NA,NA,NA,NA,NA,1942,2,"854078_2",4261,"A",2.23671765959549,3.76365673450579,-0.658741222205893
"256848",854081,1,2016,9,NA,3,1,1,64,4,4,2,NA,2,0,3,2,2,1,1,6,3,3,1,1,3,9,2,1952,7,3,0,1.5,1,1,2,2,2,NA,67,NA,NA,NA,1952,1,"854081_1",4262,"A",-0.94492702125783,-5.95590250972977,0.0232139779114878
"256849",854081,2,2016,9,NA,3,2,2,63,4,5,2,NA,1,0,3,2,6,0,0,2,3,8,1,2,3,9,2,1953,2,9,1,1.5,1,1,2,2,2,NA,NA,NA,NA,NA,1953,2,"854081_2",4263,"A",-0.468818567502866,-0.16720044827936,-0.666656416577319
"256889",854108,2,2016,15,NA,4,2,1,80,5,4,3,NA,3,4,4,3,7,0,0,7,3,9,1,2,3,15,3,1936,10,11,0,1.5,1,0,2,0,2,NA,NA,2,NA,NA,1936,1,"854108_1",4265,"A",0.89338321446373,2.5676590606192,-0.66633756393664
"256888",854108,1,2016,15,NA,4,1,2,76,5,4,3,NA,3,4,4,3,7,1,1,7,3,9,1,1,3,15,3,1940,10,11,1,1.5,1,0,2,0,2,NA,NA,NA,NA,NA,1940,2,"854108_2",4264,"A",0.913754144960459,1.73879926044267,0.330641107713594
"256893",854112,1,2016,15,NA,4,1,1,31,2,5,2,NA,2,0,4,3,6,1,1,5,3,8,2,1,3,15,3,1985,5,9,1,1,1,1,1,1,1,NA,60,NA,NA,NA,1985,1,"854112_1",4266,"A",-0.671584650781987,5.46259558807111,-0.554656209487902
"256928",854163,1,2016,8,NA,1,1,1,70,5,3,3,NA,3,4,2,1,7,1,1,7,1,9,1,1,3,8,1,1946,10,11,1,1.5,1,0,2,1,2,NA,NA,2,NA,NA,1946,1,"854163_1",4267,"A",-0.400163927678557,-0.731041695713946,0.0107029802377705
"256929",854163,2,2016,8,NA,1,2,2,67,5,2,2,NA,1,0,2,1,6,0,0,1,1,8,1,2,3,9,2,1949,1,9,0,1.5,1,1,2,1,2,NA,NA,NA,NA,NA,1949,2,"854163_2",4268,"A",-1.75277252654058,1.5517671831456,0.311187251021804
"256940",854188,1,2016,8,NA,1,1,2,90,5,2,3,NA,3,4,2,1,7,1,1,7,1,9,1,1,3,8,1,1926,10,11,0,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1926,1,"854188_1",4269,"A",0.374172097157926,-2.24926573422767,-0.282809869580007
"256941",854188,2,2016,8,NA,1,2,1,91,5,3,3,NA,3,4,2,1,7,0,0,7,1,9,1,2,3,8,1,1925,10,11,1,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1925,2,"854188_2",4270,"A",0.655905871951375,2.09534355782141,0.333333333311172
"256952",854197,1,2016,15,NA,4,1,2,75,5,3,3,NA,3,4,4,3,7,1,1,7,3,9,4,1,3,15,3,1941,10,11,1,1.5,1,0,1,0,2,NA,NA,NA,NA,NA,1941,1,"854197_1",4271,"A",-1.13008681927997,-1.9024017088425,0.228906155888555
"256953",854197,2,2016,15,NA,4,3,1,40,2,4,3,NA,3,5,4,3,7,0,0,7,3,9,2,2,3,15,3,1976,10,11,0,1.5,0,0,1,0,2,NA,NA,2,NA,NA,1976,2,"854197_2",4272,"A",1.03811573929272,3.19432345977311,0.333333333333328
"256981",854223,2,2016,15,NA,4,2,1,64,4,3,3,NA,3,4,4,3,7,0,1,7,3,9,1,2,3,15,3,1952,10,11,1,2,1,0,1,0,3,NA,NA,2,NA,NA,1952,1,"854223_1",4274,"A",-0.268975240092042,3.41999047710095,-0.585407230133519
"256980",854223,1,2016,15,NA,4,1,2,63,4,2,3,NA,3,2,4,3,7,1,0,7,3,9,1,1,3,15,3,1953,10,11,0,2,0,0,1,0,3,NA,NA,NA,NA,NA,1953,2,"854223_2",4273,"A",0.79373052167881,-0.354258562440284,0.333333333333326
"256982",854223,3,2016,15,NA,4,3,1,28,1,4,3,NA,3,1,4,3,7,0,0,7,3,9,2,3,3,15,3,1988,10,11,0,2,0,0,1,0,3,NA,NA,NA,NA,NA,1988,3,"854223_3",4275,"A",0.515331420878638,-1.02530066780234,0.333333333333325
"257070",854306,1,2016,5,NA,3,1,1,70,5,3,3,NA,3,4,2,1,7,1,1,7,2,9,1,1,3,5,1,1946,10,11,1,1.5,1,0,2,0,2,NA,NA,2,NA,NA,1946,1,"854306_1",4276,"A",0.376045596466813,-2.90041744672322,0.333333331921019
"257071",854306,2,2016,5,NA,3,2,2,64,4,3,3,NA,3,4,2,1,7,0,0,7,2,9,1,2,3,5,1,1952,10,11,0,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1952,2,"854306_2",4277,"A",0.177853908241274,1.48328624339468,0.333333318416133
"257094",854346,1,2016,15,NA,4,1,1,52,4,3,3,NA,3,5,4,3,7,1,0,7,3,9,1,1,3,15,3,1964,10,11,0,2,0,0,2,1,3,NA,NA,1,NA,NA,1964,1,"854346_1",4278,"A",1.5705784494976,-2.4572811166772,-0.527352614232172
"257095",854346,2,2016,15,NA,4,2,2,51,4,2,2,NA,1,0,4,3,6,0,1,1,3,8,1,2,3,15,3,1965,1,9,0,2,1,1,2,1,3,NA,NA,NA,NA,NA,1965,2,"854346_2",4279,"A",-0.206666368462017,0.330552631815543,0.332625266487206
"257096",854346,3,2016,15,NA,4,3,2,24,1,3,3,NA,3,4,4,3,7,0,0,7,3,9,2,3,3,15,3,1992,10,11,1,2,1,0,2,1,3,NA,NA,NA,NA,NA,1992,5,"854346_5",4280,"A",-0.92994168985229,-8.92896656889637,0.333308349656785
"257103",854352,1,2016,15,NA,4,1,2,76,5,2,3,NA,3,4,4,3,7,1,1,7,3,9,2,1,3,15,3,1940,10,11,1,1,1,0,1,0,1,NA,NA,1,NA,NA,1940,1,"854352_1",4281,"A",2.18628929694672,-0.2654647249516,-0.665964292944168
"257121",854385,2,2016,15,NA,4,2,1,76,5,2,3,NA,3,4,4,3,7,0,1,7,3,9,1,1,3,15,3,1940,10,11,1,1.5,1,0,1,0,2,NA,NA,1,NA,NA,1940,1,"854385_1",4283,"A",-1.2564397945774,2.84662913454791,0.331380731083543
"257120",854385,1,2016,15,NA,4,1,2,74,5,2,3,NA,3,2,4,3,7,1,0,7,3,9,1,2,3,15,3,1942,10,11,0,1.5,0,0,1,0,2,NA,NA,NA,NA,NA,1942,2,"854385_2",4282,"A",0.435368123654911,3.48864500883934,0.333333332916445
"257130",854393,1,2016,15,NA,4,1,2,80,5,2,3,NA,3,4,4,3,7,1,1,7,3,9,4,1,3,15,3,1936,10,11,1,1.5,1,0,1,0,2,NA,NA,NA,NA,NA,1936,1,"854393_1",4284,"A",2.51770690918059,-1.40338502091326,0.333332872345996
"257131",854393,2,2016,15,NA,4,3,1,48,3,3,3,NA,3,5,4,3,7,0,0,7,3,9,3,NA,3,15,3,1968,10,11,0,1.5,0,0,1,0,2,NA,NA,1,NA,NA,1968,2,"854393_2",4285,"A",0.826113192094844,-1.00929850934111,0.33333333275095
"257146",854406,2,2016,15,NA,4,2,1,72,5,3,3,NA,3,4,4,3,7,0,1,7,3,9,1,1,3,15,3,1944,10,11,1,1.5,1,0,1,0,2,NA,NA,1,NA,NA,1944,1,"854406_1",4287,"A",-2.28209534793925,3.00818159636842,0.333333333333333
"257145",854406,1,2016,15,NA,4,1,2,68,5,2,3,NA,3,2,4,3,7,1,0,7,3,9,1,2,3,15,3,1948,10,11,0,1.5,0,0,1,0,2,NA,NA,NA,NA,NA,1948,2,"854406_2",4286,"A",-0.617776065198167,-1.18524958503251,0.333318942404082
"257185",854435,1,2016,8,NA,2,1,1,61,4,4,2,NA,1,0,2,1,2,1,1,1,1,2,1,1,3,15,3,1955,1,2,1,2,1,1,2,2,3,NA,68,NA,NA,NA,1955,1,"854435_1",4288,"A",0.198384320089043,-0.340272784111788,-0.644181751037552
"257186",854435,2,2016,8,NA,2,2,2,56,4,3,3,NA,3,5,2,1,7,0,0,7,1,9,1,2,3,15,3,1960,10,11,0,2,0,0,2,2,3,NA,NA,1,NA,NA,1960,2,"854435_2",4289,"A",-0.503748102060974,5.75440863779603,-0.534714809719017
"257187",854435,3,2016,8,NA,2,3,1,30,1,4,2,NA,1,0,2,1,2,0,0,1,1,2,2,3,3,15,3,1986,1,2,0,2,1,1,2,2,3,NA,NA,NA,NA,NA,1986,3,"854435_3",4290,"A",-0.0124374243500782,1.50596287464313,0.333081433889505
"257198",854460,1,2016,9,NA,2,1,2,49,3,3,2,NA,1,0,3,2,3,1,1,2,1,4,2,1,3,9,2,1967,2,4,1,1,1,1,1,1,1,NA,67,NA,NA,NA,1967,2,"854460_2",4291,"A",-0.746332230499135,1.70731704962314,-0.625919780979013
"257232",854501,1,2016,19,NA,5,1,2,39,2,4,2,NA,1,0,5,3,6,1,1,1,3,8,1,1,3,NA,NA,1977,1,8,0,2.1,1,1,2,2,4,2,65,NA,NA,NA,1977,1,"854501_1",4292,"A",-0.656142395895222,-2.10763996835577,-0.666444679245553
"257233",854501,2,2016,19,NA,5,2,1,40,2,3,2,NA,1,0,5,3,6,0,0,1,3,8,1,2,3,NA,NA,1976,1,8,1,2.1,1,1,2,2,4,2,NA,NA,NA,NA,1976,2,"854501_2",4293,"A",-2.38092381395167,3.92240097953395,-0.666666605730503
"257234",854501,3,2016,19,NA,5,3,1,13,1,3,3,NA,3,6,5,3,7,0,0,7,3,9,2,3,3,19,3,2003,10,11,0,2.1,0,0,2,2,4,NA,NA,NA,NA,NA,2003,3,"854501_3",4294,"A",1.54187616754678,1.33968872905139,-0.587741274388254
"257235",854501,4,2016,19,NA,5,3,1,4,1,1,3,NA,3,7,5,3,7,0,0,7,3,9,2,4,3,19,3,2012,10,11,0,2.1,0,0,2,2,4,NA,NA,NA,NA,NA,2012,4,"854501_4",4295,"A",1.28495404805801,-4.02839422032475,0.333333332217629
"257256",854534,1,2016,19,NA,5,1,1,80,5,4,3,NA,3,4,5,3,7,1,1,7,3,9,1,1,3,19,3,1936,10,11,1,1.5,1,0,2,0,2,NA,NA,2,NA,NA,1936,1,"854534_1",4296,"A",-0.763493130237762,6.82505306329064,0.330664470466997
"257257",854534,2,2016,19,NA,5,2,2,70,5,3,3,NA,3,4,5,3,7,0,0,7,3,9,1,2,3,19,3,1946,10,11,0,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1946,2,"854534_2",4297,"A",1.34460220525989,-3.74303306509422,0.333332847027768
"257267",854535,1,2016,19,NA,5,1,2,48,3,4,2,NA,1,0,5,3,6,1,1,2,3,8,4,1,3,19,3,1968,2,9,1,2,1,1,1,1,3,NA,65,NA,NA,NA,1968,1,"854535_1",4298,"A",0.950822601246008,-2.16038139600789,0.333333321823708
"257268",854535,2,2016,19,NA,5,3,1,24,1,4,3,NA,3,5,5,3,7,0,0,7,3,9,2,2,3,19,3,1992,10,11,0,2,0,0,1,1,3,NA,NA,NA,NA,NA,1992,2,"854535_2",4299,"A",0.30107428536338,0.45451790817364,-0.00577477185103314
"257269",854535,3,2016,19,NA,5,3,2,17,1,3,3,NA,3,6,5,3,7,0,0,7,3,9,2,3,3,19,3,1999,10,11,0,2,0,0,1,1,3,NA,NA,NA,NA,NA,1999,3,"854535_3",4300,"A",0.188913499189346,2.06934691581349,0.333238738415301
"257287",854554,1,2016,18,NA,4,1,2,76,5,2,3,NA,3,4,4,3,7,1,1,7,3,9,4,2,3,18,3,1940,10,11,1,1,1,0,1,0,1,NA,NA,NA,NA,NA,1940,2,"854554_2",4301,"A",-1.06069392736379,-2.37718049614866,-0.666666058627753
"257300",854559,1,2016,18,NA,4,1,1,67,5,3,3,NA,3,4,4,3,7,1,1,7,3,9,1,1,3,18,3,1949,10,11,1,2,1,0,2,1,3,NA,NA,2,NA,NA,1949,1,"854559_1",4302,"A",0.103693331418082,2.0662360339641,-0.484093016311565
"257301",854559,2,2016,18,NA,4,2,2,60,4,4,3,NA,3,2,4,3,7,0,0,7,3,9,1,2,3,18,3,1956,10,11,0,2,0,0,2,1,3,NA,NA,NA,NA,NA,1956,2,"854559_2",4303,"A",0.539767205981708,-2.08652686095352,-0.281322940646767
"257302",854559,3,2016,18,NA,4,3,1,32,2,4,2,NA,1,0,4,3,3,0,0,1,3,4,2,3,3,18,3,1984,1,4,0,2,1,1,2,1,3,NA,NA,NA,NA,NA,1984,3,"854559_3",4304,"A",0.89991721792399,1.670581542088,0.274493439312354
"257323",854592,1,2016,15,NA,4,1,2,79,5,2,3,NA,3,4,4,3,7,1,1,7,3,9,4,1,3,15,3,1937,10,11,1,1,1,0,1,0,1,NA,NA,NA,NA,NA,1937,2,"854592_2",4305,"A",0.512619985741754,-2.38814344838484,0.331315911287671
"257333",854593,1,2016,15,NA,4,1,1,52,4,3,3,NA,3,5,4,3,7,1,1,7,3,9,1,1,3,15,3,1964,10,11,1,2.5,1,0,1,0,4,NA,NA,1,NA,NA,1964,2,"854593_2",4306,"A",-0.734886310814995,-2.77824161678254,0.272073420598625
"257334",854593,2,2016,15,NA,4,2,2,51,4,3,3,NA,3,1,4,3,7,0,0,7,3,9,1,2,3,15,3,1965,10,11,0,2.5,0,0,1,0,4,NA,NA,NA,NA,NA,1965,3,"854593_3",4307,"A",1.49351334843817,0.0801565600886448,0.285542169396454
"257335",854593,3,2016,15,NA,4,3,2,21,1,4,3,NA,3,6,4,3,7,0,0,7,3,9,2,3,3,15,3,1995,10,11,0,2.5,0,0,1,0,4,NA,NA,NA,NA,NA,1995,4,"854593_4",4308,"A",0.13528313046415,-3.81064698193665,0.333333161620681
"257336",854593,4,2016,15,NA,4,3,1,16,1,3,3,NA,3,6,4,3,7,0,0,7,3,9,2,4,3,15,3,2000,10,11,0,2.5,0,0,1,0,4,NA,NA,NA,NA,NA,2000,5,"854593_5",4309,"A",-0.739633169686435,2.15184434552296,-0.299724183670159
"257484",854714,1,2016,6,NA,2,1,1,81,5,2,3,NA,3,4,2,1,7,1,1,7,1,9,1,1,3,6,1,1935,10,11,1,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1935,1,"854714_1",4310,"A",2.17220341206855,4.80594601911702,-0.347730936006562
"257485",854714,2,2016,6,NA,2,2,2,75,5,2,3,NA,3,4,2,1,7,0,0,7,1,9,1,2,3,6,1,1941,10,11,0,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1941,2,"854714_2",4311,"A",0.97314337690154,-0.348268876488969,-0.115287662451127
"257497",854730,1,2016,8,NA,4,1,1,51,4,4,2,NA,1,0,2,1,2,1,1,1,3,2,1,1,3,8,1,1965,1,2,1,2,1,1,2,2,3,NA,62,NA,NA,NA,1965,1,"854730_1",4312,"A",-1.6470146298702,-1.10972476956626,0.332982223280485
"257498",854730,2,2016,8,NA,4,2,2,47,3,3,3,NA,3,2,2,1,7,0,0,7,3,9,1,2,3,8,1,1969,10,11,0,2,1,1,2,2,3,NA,NA,NA,NA,NA,1969,2,"854730_2",4313,"A",-0.561286948188462,0.176911868910304,0.308168714520519
"257499",854730,3,2016,8,NA,4,3,2,18,1,3,3,NA,3,6,2,1,7,0,0,7,3,9,2,3,3,8,1,1998,10,11,0,2,0,0,2,2,3,NA,NA,NA,NA,NA,1998,3,"854730_3",4314,"A",-0.536815446489124,-0.343529071486497,0.333333333333333
"257531",854762,1,2016,8,NA,4,1,1,66,5,4,2,NA,2,0,2,1,5,1,1,6,3,6,3,1,3,8,1,1950,7,6,1,1,1,1,1,1,1,NA,67,NA,NA,NA,1950,1,"854762_1",4315,"A",0.682255040572264,-3.7899869363406,-0.172060287011953
"257588",854858,1,2016,13,NA,4,1,1,61,4,3,2,NA,2,0,4,3,3,1,1,6,3,4,1,1,3,13,3,1955,8,4,0,2.5,1,1,2,1,4,NA,61,NA,NA,NA,1955,1,"854858_1",4316,"A",0.959643185404024,-0.962129705728244,0.3333320422611
"257589",854858,2,2016,13,NA,4,2,2,57,4,4,3,NA,3,2,4,3,7,0,0,7,3,9,1,2,3,13,3,1959,10,11,0,2.5,0,0,2,1,4,NA,NA,NA,NA,NA,1959,2,"854858_2",4317,"A",0.820076732815374,0.869921608972776,0.333332536132905
"257590",854858,3,2016,13,NA,4,3,1,31,2,4,3,NA,3,5,4,3,7,0,0,7,3,9,2,3,3,13,3,1985,10,11,0,2.5,0,0,2,1,4,NA,NA,1,NA,NA,1985,3,"854858_3",4318,"A",0.709988721909742,-1.60480131657737,-0.149470064381375
"257591",854858,4,2016,13,NA,4,4,2,79,5,2,3,NA,3,4,4,3,7,0,0,7,3,9,4,NA,3,13,3,1937,10,11,1,2.5,1,0,2,1,4,NA,NA,NA,NA,NA,1937,5,"854858_5",4319,"A",-0.642445038862117,0.555093667546945,-0.654060156581482
"257609",854862,1,2016,13,NA,4,1,1,46,3,4,2,NA,1,0,4,3,6,1,1,2,3,8,1,1,3,13,3,1970,2,9,1,2.1,1,1,2,2,4,NA,60,NA,NA,NA,1970,1,"854862_1",4320,"A",1.36594553488176,5.20661493788262,-0.666223223286298
"257610",854862,2,2016,13,NA,4,2,2,42,3,5,2,NA,2,0,4,3,6,0,0,5,3,7,1,2,3,13,3,1974,5,7,0,2.1,1,1,2,2,4,NA,NA,NA,NA,NA,1974,2,"854862_2",4321,"A",1.90586953463319,2.59587708285193,0.333333310561692
"257611",854862,3,2016,13,NA,4,3,1,11,1,2,3,NA,3,6,4,3,7,0,0,7,3,9,2,3,3,13,3,2005,10,11,0,2.1,0,0,2,2,4,NA,NA,NA,NA,NA,2005,3,"854862_3",4322,"A",0.91846616089227,4.79313503163998,-0.356526668007576
"257612",854862,4,2016,13,NA,4,3,2,6,1,1,3,NA,3,6,4,3,7,0,0,7,3,9,2,4,3,13,3,2010,10,11,0,2.1,0,0,2,2,4,NA,NA,NA,NA,NA,2010,4,"854862_4",4323,"A",-1.17709233801154,8.58506560156814,0.333218186191221
"257686",854970,1,2016,6,NA,2,1,1,61,4,2,3,NA,3,4,2,1,7,1,1,7,1,9,4,1,3,5,1,1955,10,11,1,1,1,0,1,0,1,NA,NA,1,NA,NA,1955,1,"854970_1",4324,"A",-0.429920344371073,5.20365638187299,-0.163660362116127
"257715",855004,1,2016,3,NA,1,1,1,63,4,3,3,NA,3,4,1,1,7,1,1,7,1,9,2,1,3,3,1,1953,10,11,1,1,1,0,1,0,1,NA,NA,2,NA,NA,1953,1,"855004_1",4325,"A",0.337269363708699,1.02957367436456,-0.110163533788455
"257744",855035,2,2016,3,NA,1,2,1,79,5,2,3,NA,3,4,1,1,7,0,0,7,1,9,1,2,3,3,1,1937,10,11,0,2,1,0,3,1,3,NA,NA,8,NA,NA,1937,1,"855035_1",4327,"A",0.586515209035216,3.04626973626008,0.324609503971251
"257743",855035,1,2016,3,NA,1,1,2,69,5,2,3,NA,3,4,1,1,7,1,1,7,1,9,1,1,3,3,1,1947,10,11,0,2,1,0,3,1,3,NA,NA,8,NA,NA,1947,2,"855035_2",4326,"A",-0.965817670636669,-0.284709604479163,0.330129285243109
"257745",855035,3,2016,3,NA,1,3,2,43,3,5,2,NA,2,0,1,1,6,0,0,5,1,7,2,3,3,3,1,1973,5,7,1,2,1,1,3,1,3,NA,NA,NA,NA,NA,1973,3,"855035_3",4328,"A",-1.52293466675574,-6.06718843816405,0.128420277737252
"257771",855088,1,2016,1,NA,3,1,2,60,4,3,3,NA,3,4,1,1,7,1,1,7,2,9,4,1,3,18,3,1956,10,11,1,1,1,0,1,0,1,NA,NA,NA,NA,NA,1956,1,"855088_1",4329,"A",0.920592900814666,1.20480426129054,0.3323736210927
"257791",855111,1,2016,11,NA,2,1,2,54,4,5,2,NA,1,0,3,2,6,1,1,2,1,8,1,1,3,11,2,1962,2,9,0,2.3,1,1,2,2,4,NA,65,NA,NA,NA,1962,1,"855111_1",4330,"A",1.37395508531279,0.411430998132618,0.333303281200443
"257792",855111,2,2016,11,NA,2,2,1,56,4,4,2,NA,2,0,3,2,3,0,0,6,1,4,1,2,3,11,2,1960,7,4,1,2.3,1,1,2,2,4,NA,NA,NA,NA,NA,1960,2,"855111_2",4331,"A",0.804035302601757,5.67261315719313,-0.662305567514262
"257793",855111,3,2016,11,NA,2,3,1,20,1,4,3,NA,3,6,3,2,7,0,0,7,1,9,2,3,3,11,2,1996,10,11,0,2.3,0,0,2,2,4,NA,NA,NA,NA,NA,1996,3,"855111_3",4332,"A",0.78201272420938,1.38095595163338,0.333333333330514
"257794",855111,4,2016,11,NA,2,3,1,12,1,2,3,NA,3,6,3,2,7,0,0,7,1,9,2,4,3,11,2,2004,10,11,0,2.3,0,0,2,2,4,NA,NA,NA,NA,NA,2004,4,"855111_4",4333,"A",-1.22437504125053,7.15425949620157,-0.157775048955164
"257820",855135,1,2016,11,NA,2,1,2,52,4,3,2,NA,1,0,3,2,2,1,1,1,1,2,4,1,3,11,2,1964,1,2,0,2,1,1,3,3,3,NA,60,NA,NA,NA,1964,1,"855135_1",4334,"A",-1.29248113274434,2.24394592671464,0.309729031393054
"257821",855135,2,2016,11,NA,2,3,1,33,2,4,2,NA,1,0,3,2,3,0,0,1,1,4,2,2,3,11,2,1983,1,4,0,2,1,1,3,3,3,NA,NA,NA,NA,NA,1983,3,"855135_3",4335,"A",0.584056700697946,2.18847210236983,-0.387600503929832
"257822",855135,3,2016,11,NA,2,3,1,25,1,3,2,NA,1,0,3,2,2,0,0,1,1,3,2,3,3,11,2,1991,1,3,1,2,1,1,3,3,3,NA,NA,NA,NA,NA,1991,4,"855135_4",4336,"A",1.48272191044027,-6.50326569217133,0.333333333333333
"257859",855181,1,2016,3,NA,4,1,1,69,5,4,3,NA,3,4,1,1,7,1,1,7,3,9,1,1,3,18,3,1947,10,11,1,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1947,1,"855181_1",4337,"A",-0.150249425033148,-1.47716903698243,-0.197412649396001
"257860",855181,2,2016,3,NA,4,2,2,72,5,3,3,NA,3,4,1,1,7,0,0,7,3,9,1,2,3,19,3,1944,10,11,0,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1944,2,"855181_2",4338,"A",-2.10430714985857,0.176486768737721,-0.659704932301703
"257893",855238,1,2016,10,NA,3,1,2,61,4,3,2,NA,1,0,3,2,6,1,1,1,2,8,1,1,3,10,2,1955,1,8,0,1.5,1,1,2,2,2,NA,67,NA,NA,NA,1955,1,"855238_1",4339,"A",-1.1588340893371,-3.38453952570883,0.333333284507906
"257894",855238,2,2016,10,NA,3,2,1,62,4,2,2,NA,1,0,3,2,2,0,0,1,2,2,1,2,3,10,2,1954,1,2,1,1.5,1,1,2,2,2,NA,NA,NA,NA,NA,1954,2,"855238_2",4340,"A",-0.695304428477842,-1.72122181115176,-0.607614922435484
